shots,errors,discards,seconds,decoder,strong_id,json_metadata,custom_counts
11240849,1083,0,0,VLSD-32,bellflag_si_res30.0001,"{""d"":3,""p"":0.0001,""r"":3,""c"":""Bell Flagged"",""q"":13,""SELSD calls"":262}",
156867,1314,0,0,VLSD-32,bellflag_si_res30.001,"{""d"":3,""p"":0.001,""r"":3,""c"":""Bell Flagged"",""q"":13,""SELSD calls"":269}",
12500000,56,0,0,VLSD-32,bellflag_si_res50.0001,"{""d"":5,""p"":0.0001,""r"":5,""c"":""Bell Flagged"",""q"":37,""SELSD calls"":1324}",
386933,1250,0,0,VLSD-32,bellflag_si_res50.001,"{""d"":5,""p"":0.001,""r"":5,""c"":""Bell Flagged"",""q"":37,""SELSD calls"":6473}",
50000000,22,0,0,VLSD-32,bellflag_si_res70.0001,"{""d"":7,""p"":0.0001,""r"":7,""c"":""Bell Flagged"",""q"":73,""SELSD calls"":10049}",
4000086,4999,0,0,VLSD-32,bellflag_si_res70.001,"{""d"":7,""p"":0.001,""r"":7,""c"":""Bell Flagged"",""q"":73,""SELSD calls"":190397}",
27615270,1,0,0,VLSD-32,bellflag_si_res90.0001,"{""d"":9,""p"":0.0001,""r"":9,""c"":""Bell Flagged"",""q"":121,""SELSD calls"":9404}",
1905957,1065,0,0,VLSD-32,bellflag_si_res90.001,"{""d"":9,""p"":0.001,""r"":9,""c"":""Bell Flagged"",""q"":121,""SELSD calls"":187820}",
