shots,errors,discards,seconds,decoder,strong_id,json_metadata,custom_counts
142687,300,0,0,VLSD-32,488_res30.0001,"{""d"":3,""p"":0.0001,""r"":3,""c"":""Midout 4.8.8"",""q"":9,""SELSD calls"":0}",
32605,337,0,0,VLSD-32,488_res30.0005,"{""d"":3,""p"":0.0005,""r"":3,""c"":""Midout 4.8.8"",""q"":9,""SELSD calls"":0}",
30000,672,0,0,VLSD-32,488_res30.001,"{""d"":3,""p"":0.001,""r"":3,""c"":""Midout 4.8.8"",""q"":9,""SELSD calls"":0}",
30000,1306,0,0,VLSD-32,488_res30.002,"{""d"":3,""p"":0.002,""r"":3,""c"":""Midout 4.8.8"",""q"":9,""SELSD calls"":7}",
30000,2076,0,0,VLSD-32,488_res30.003,"{""d"":3,""p"":0.003,""r"":3,""c"":""Midout 4.8.8"",""q"":9,""SELSD calls"":8}",
30000,2743,0,0,VLSD-32,488_res30.004,"{""d"":3,""p"":0.004,""r"":3,""c"":""Midout 4.8.8"",""q"":9,""SELSD calls"":19}",
30010,3385,0,0,VLSD-32,488_res30.005,"{""d"":3,""p"":0.005,""r"":3,""c"":""Midout 4.8.8"",""q"":9,""SELSD calls"":17}",
20000,2731,0,0,VLSD-32,488_res30.006,"{""d"":3,""p"":0.006,""r"":3,""c"":""Midout 4.8.8"",""q"":9,""SELSD calls"":19}",
318712,300,0,0,VLSD-32,488_res50.0001,"{""d"":5,""p"":0.0001,""r"":5,""c"":""Midout 4.8.8"",""q"":21,""SELSD calls"":1}",
57088,301,0,0,VLSD-32,488_res50.0005,"{""d"":5,""p"":0.0005,""r"":5,""c"":""Midout 4.8.8"",""q"":21,""SELSD calls"":15}",
31214,399,0,0,VLSD-32,488_res50.001,"{""d"":5,""p"":0.001,""r"":5,""c"":""Midout 4.8.8"",""q"":21,""SELSD calls"":35}",
30000,865,0,0,VLSD-32,488_res50.002,"{""d"":5,""p"":0.002,""r"":5,""c"":""Midout 4.8.8"",""q"":21,""SELSD calls"":149}",
30000,1636,0,0,VLSD-32,488_res50.003,"{""d"":5,""p"":0.003,""r"":5,""c"":""Midout 4.8.8"",""q"":21,""SELSD calls"":354}",
30000,2348,0,0,VLSD-32,488_res50.004,"{""d"":5,""p"":0.004,""r"":5,""c"":""Midout 4.8.8"",""q"":21,""SELSD calls"":635}",
30010,3225,0,0,VLSD-32,488_res50.005,"{""d"":5,""p"":0.005,""r"":5,""c"":""Midout 4.8.8"",""q"":21,""SELSD calls"":1040}",
20000,2662,0,0,VLSD-32,488_res50.006,"{""d"":5,""p"":0.006,""r"":5,""c"":""Midout 4.8.8"",""q"":21,""SELSD calls"":1010}",
524169,300,0,0,VLSD-32,488_res70.0001,"{""d"":7,""p"":0.0001,""r"":7,""c"":""Midout 4.8.8"",""q"":37,""SELSD calls"":15}",
82996,300,0,0,VLSD-32,488_res70.0005,"{""d"":7,""p"":0.0005,""r"":7,""c"":""Midout 4.8.8"",""q"":37,""SELSD calls"":104}",
35419,311,0,0,VLSD-32,488_res70.001,"{""d"":7,""p"":0.001,""r"":7,""c"":""Midout 4.8.8"",""q"":37,""SELSD calls"":137}",
30000,775,0,0,VLSD-32,488_res70.002,"{""d"":7,""p"":0.002,""r"":7,""c"":""Midout 4.8.8"",""q"":37,""SELSD calls"":664}",
30000,1576,0,0,VLSD-32,488_res70.003,"{""d"":7,""p"":0.003,""r"":7,""c"":""Midout 4.8.8"",""q"":37,""SELSD calls"":1761}",
30000,2660,0,0,VLSD-32,488_res70.004,"{""d"":7,""p"":0.004,""r"":7,""c"":""Midout 4.8.8"",""q"":37,""SELSD calls"":3354}",
30010,3878,0,0,VLSD-32,488_res70.005,"{""d"":7,""p"":0.005,""r"":7,""c"":""Midout 4.8.8"",""q"":37,""SELSD calls"":5423}",
20000,3466,0,0,VLSD-32,488_res70.006,"{""d"":7,""p"":0.006,""r"":7,""c"":""Midout 4.8.8"",""q"":37,""SELSD calls"":5168}",
5600000,104,0,0,VLSD-32,488_res90.0001,"{""d"":9,""p"":0.0001,""r"":9,""c"":""Midout 4.8.8"",""q"":57,""SELSD calls"":346}",
596686,300,0,0,VLSD-32,488_res90.0005,"{""d"":9,""p"":0.0005,""r"":9,""c"":""Midout 4.8.8"",""q"":57,""SELSD calls"":1148}",
134542,300,0,0,VLSD-32,488_res90.001,"{""d"":9,""p"":0.001,""r"":9,""c"":""Midout 4.8.8"",""q"":57,""SELSD calls"":1255}",
31576,372,0,0,VLSD-32,488_res90.002,"{""d"":9,""p"":0.002,""r"":9,""c"":""Midout 4.8.8"",""q"":57,""SELSD calls"":1634}",
30000,989,0,0,VLSD-32,488_res90.003,"{""d"":9,""p"":0.003,""r"":9,""c"":""Midout 4.8.8"",""q"":57,""SELSD calls"":3973}",
30000,2132,0,0,VLSD-32,488_res90.004,"{""d"":9,""p"":0.004,""r"":9,""c"":""Midout 4.8.8"",""q"":57,""SELSD calls"":7539}",
30010,3624,0,0,VLSD-32,488_res90.005,"{""d"":9,""p"":0.005,""r"":9,""c"":""Midout 4.8.8"",""q"":57,""SELSD calls"":12031}",
20000,3525,0,0,VLSD-32,488_res90.006,"{""d"":9,""p"":0.006,""r"":9,""c"":""Midout 4.8.8"",""q"":57,""SELSD calls"":10963}",
10000000,86,0,0,VLSD-32,488_res110.0001,"{""d"":11,""p"":0.0001,""r"":11,""c"":""Midout 4.8.8"",""q"":81,""SELSD calls"":968}",
1032176,300,0,0,VLSD-32,488_res110.0005,"{""d"":11,""p"":0.0005,""r"":11,""c"":""Midout 4.8.8"",""q"":81,""SELSD calls"":3245}",
184786,300,0,0,VLSD-32,488_res110.001,"{""d"":11,""p"":0.001,""r"":11,""c"":""Midout 4.8.8"",""q"":81,""SELSD calls"":2960}",
35222,336,0,0,VLSD-32,488_res110.002,"{""d"":11,""p"":0.002,""r"":11,""c"":""Midout 4.8.8"",""q"":81,""SELSD calls"":3057}",
30000,974,0,0,VLSD-32,488_res110.003,"{""d"":11,""p"":0.003,""r"":11,""c"":""Midout 4.8.8"",""q"":81,""SELSD calls"":7153}",
30000,2210,0,0,VLSD-32,488_res110.004,"{""d"":11,""p"":0.004,""r"":11,""c"":""Midout 4.8.8"",""q"":81,""SELSD calls"":13407}",
30010,3959,0,0,VLSD-32,488_res110.005,"{""d"":11,""p"":0.005,""r"":11,""c"":""Midout 4.8.8"",""q"":81,""SELSD calls"":19564}",
20000,4131,0,0,VLSD-32,488_res110.006,"{""d"":11,""p"":0.006,""r"":11,""c"":""Midout 4.8.8"",""q"":81,""SELSD calls"":16143}",
10000000,20,0,0,VLSD-32,488_res130.0001,"{""d"":13,""p"":0.0001,""r"":13,""c"":""Midout 4.8.8"",""q"":109,""SELSD calls"":1335}",
2322109,225,0,0,VLSD-32,488_res130.0005,"{""d"":13,""p"":0.0005,""r"":13,""c"":""Midout 4.8.8"",""q"":109,""SELSD calls"":10590}",
770710,439,0,0,VLSD-32,488_res130.001,"{""d"":13,""p"":0.001,""r"":13,""c"":""Midout 4.8.8"",""q"":109,""SELSD calls"":17980}",
85354,506,0,0,VLSD-32,488_res130.002,"{""d"":13,""p"":0.002,""r"":13,""c"":""Midout 4.8.8"",""q"":109,""SELSD calls"":11585}",
50000,1183,0,0,VLSD-32,488_res130.003,"{""d"":13,""p"":0.003,""r"":13,""c"":""Midout 4.8.8"",""q"":109,""SELSD calls"":18090}",
