shots,errors,discards,seconds,decoder,strong_id,json_metadata,custom_counts
44369,110,0,0,VLSD-32,midout_uni_res110.002,"{""d"":11,""p"":0.002,""r"":11,""c"":""Midout"",""q"":101,""SELSD calls"":3789}",
16135,163,0,0,VLSD-32,midout_uni_res110.003,"{""d"":11,""p"":0.003,""r"":11,""c"":""Midout"",""q"":101,""SELSD calls"":3883}",
11000,391,0,0,VLSD-32,midout_uni_res110.004,"{""d"":11,""p"":0.004,""r"":11,""c"":""Midout"",""q"":101,""SELSD calls"":5265}",
13600,1124,0,0,VLSD-32,midout_uni_res110.005,"{""d"":11,""p"":0.005,""r"":11,""c"":""Midout"",""q"":101,""SELSD calls"":9563}",
100000,14708,0,0,VLSD-32,midout_uni_res110.006,"{""d"":11,""p"":0.006,""r"":11,""c"":""Midout"",""q"":101,""SELSD calls"":85779}",
50000,11230,0,0,VLSD-32,midout_uni_res110.007,"{""d"":11,""p"":0.007,""r"":11,""c"":""Midout"",""q"":101,""SELSD calls"":47186}",
10048390,0,0,0,VLSD-32,midout_uni_res130.0001,"{""d"":13,""p"":0.0001,""r"":13,""c"":""Midout"",""q"":139,""SELSD calls"":1119}",
11673100,37,0,0,VLSD-32,midout_uni_res130.0005,"{""d"":13,""p"":0.0005,""r"":13,""c"":""Midout"",""q"":139,""SELSD calls"":46053}",
2850530,150,0,0,VLSD-32,midout_uni_res130.001,"{""d"":13,""p"":0.001,""r"":13,""c"":""Midout"",""q"":139,""SELSD calls"":60050}",
84138,100,0,0,VLSD-32,midout_uni_res130.002,"{""d"":13,""p"":0.002,""r"":13,""c"":""Midout"",""q"":139,""SELSD calls"":11166}",
16234,135,0,0,VLSD-32,midout_uni_res130.003,"{""d"":13,""p"":0.003,""r"":13,""c"":""Midout"",""q"":139,""SELSD calls"":6282}",
11800,393,0,0,VLSD-32,midout_uni_res130.004,"{""d"":13,""p"":0.004,""r"":13,""c"":""Midout"",""q"":139,""SELSD calls"":8066}",
11300,914,0,0,VLSD-32,midout_uni_res130.005,"{""d"":13,""p"":0.005,""r"":13,""c"":""Midout"",""q"":139,""SELSD calls"":10015}",
97100,14727,0,0,VLSD-32,midout_uni_res130.006,"{""d"":13,""p"":0.006,""r"":13,""c"":""Midout"",""q"":139,""SELSD calls"":94166}",
44820,10959,0,0,VLSD-32,midout_uni_res130.007,"{""d"":13,""p"":0.007,""r"":13,""c"":""Midout"",""q"":139,""SELSD calls"":44552}",
